Company,Last Price,%chg,Traded Val,Volume
,,,,
RELIANCE COMM.,30.96,+7.72%,"2,779.95cr",86.05cr
TATA STEEL,734.65,+1.78%,900.38cr,1.23cr
ICICI BANK,314.25,+0.51%,736.32cr,2.34cr
SBI,308.30,-1.86%,732.88cr,2.36cr
RELIANCE INFRA.,555.20,+3.92%,728.30cr,1.31cr
RELIANCE,924.40,+0.23%,707.43cr,76.49lk
SUN PHARMA,567.90,-1.70%,671.02cr,1.17cr
MARUTI SUZUKI,9630.50,-0.17%,668.01cr,6.93lk
HINDALCO,275.35,+3.59%,649.66cr,2.36cr
DLF LTD.,263.80,+6.29%,581.26cr,2.25cr
DREDGING CORPORATION,792.10,+16.19%,540.19cr,70.19lk
GAIL (INDIA),510.70,+0.50%,524.02cr,1.03cr
VEDANTA,332.50,+1.95%,497.94cr,1.50cr
AXIS BANK,547.40,-1.29%,476.08cr,86.78lk
JAIPRAKASH ASSOCIATE,23.20,+8.67%,465.82cr,20.21cr
INFOSYS,1034.00,0.00%,453.65cr,43.86lk
WOCKHARDT,912.00,+2.27%,441.06cr,48.99lk
M&M,750.30,+0.44%,433.85cr,57.87lk
HDFC BANK,1873.00,+0.82%,427.17cr,22.81lk
ITC LTD.,261.30,-0.40%,426.87cr,1.63cr
BHARTI AIRTEL,531.05,-0.55%,423.68cr,79.51lk
GMR INFRASTRUCTURE,20.25,+6.02%,407.82cr,20.28cr
UNITED SPIRITS,3633.55,+1.40%,402.19cr,11.10lk
JET AIRWAYS (INDIA),817.05,+1.04%,377.31cr,46.24lk
L&T,1253.25,-0.43%,373.96cr,29.81lk
HUL,1357.35,+0.21%,365.39cr,26.84lk
TCS,2628.85,+0.30%,351.10cr,13.35lk
PUNJAB NATIONAL BANK,170.70,-1.84%,338.79cr,1.98cr
FORTIS HEALTHCARE,161.95,+2.50%,313.99cr,1.93cr
JINDAL STEEL & POWER,202.20,+3.93%,289.00cr,1.44cr
INFIBEAM,161.90,-2.12%,273.94cr,1.66cr
NTPC LTD.,175.75,-1.04%,273.89cr,1.55cr
BPCL,524.80,-1.58%,270.57cr,51.19lk
INDIAN OIL CORP.,392.25,-2.30%,266.25cr,67.16lk
HINDUSTAN COPPER,102.55,+6.60%,265.12cr,2.58cr
