JAIPRAKASH POWER,7.28,0.07,(+0.97%),7.55,7.15
SUZLON ENERGY,15.16,0.16,(+1.07%),15.44,15.05
UNITED BANK OF INDIA,17.5,0.05,(+0.29%),17.7,17.1
VIDEOCON INDUSTRIES,18.05,0.8,(+4.64%),18.1,17.05
JAIPRAKASH ASSOCIATE,21.35,1.6,(+8.10%),21.7,19.8
DENA BANK,24.8,0.25,(+1.02%),25.15,24.6
IFCI LTD.,27.75,0.05,(+0.18%),29.5,27.45
RELIANCE COMM.,28.74,7.41,(+34.74%),29.95,23.46
PTC INDIA FIN. SER.,36.9,0.05,(+0.14%),37.45,36.75
FIRSTSOURCE SOLUTION,40.2,0.3,(+0.75%),40.7,39.6
MARKSANS PHARMA,40.3,1.25,(+3.20%),41.2,38.9
ADANI POWER,40.6,1.35,(+3.44%),40.85,39.15
RELIANCE POWER,44.55,1.4,(+3.24%),45.75,43.1
RELIANCE DEFENCE,47.25,1.65,(+3.62%),48.3,45.4
IDFC BANK,55.2,0.15,(+0.27%),55.9,54.6
NETWORK 18 MEDIA,60.75,1.4,(+2.36%),63,58.2
IDFC LTD.,61.75,1.35,(+2.24%),62.6,60.2
VIJAYA BANK,71,0.85,(+1.21%),71.5,70
MMTC LTD.,73.45,2,(+2.80%),76.1,71.5
HOUSING & URBAN DEVELOPMENT CORPORA,81.6,0.5,(+0.62%),83,81
SAIL,91.1,0.7,(+0.77%),93.15,89.75
RCF,93.6,0.05,(+0.05%),95.2,93
HINDUSTAN COPPER,96.2,3.2,(+3.44%),100.2,94.2
HT MEDIA,97.8,0.75,(+0.77%),101.45,97.1
NLC INDIA,107.35,0.5,(+0.47%),109.8,106.7
KWALITY,113.05,2.3,(+2.08%),114.85,110.8
MANAPPURAM FINANCE,118.5,1.3,(+1.11%),121.65,115.7
INDO COUNT IND.,120,0.9,(+0.76%),122.75,118.1
KARUR VYSYA BANK,121.95,0.55,(+0.45%),122.55,121.15
SCHNEIDER ELECTRIC,127.85,0.95,(+0.75%),131.5,126.1
GREAVES COTTON,135.45,1.6,(+1.20%),138,132.4
JINDAL SAW,136.4,2.45,(+1.83%),141.8,133.9
GUJARAT PIPAVAV PORT,136.7,0.45,(+0.33%),138.1,135.75
GRANULES INDIA,138.9,1.55,(+1.13%),141.5,137
EQUITAS HOLDINGS,147.35,4.95,(+3.48%),150.3,142.45
JK TYRE & IND.,147.9,0.9,(+0.61%),152.95,144.75
UNION BANK OF INDIA,148.3,0.3,(+0.20%),150.55,147.25
LAKSHMI VILAS BANK,149.2,3.5,(+2.40%),151.25,146.15
JM FINANCIAL,151.75,1.3,(+0.86%),155.95,150
FORTIS HEALTHCARE,158,7.5,(+4.98%),159.05,151.1
GUJARAT MINERAL,161.65,3.3,(+2.08%),162.9,158.6
NAVNEET EDUCATION,164.45,5.65,(+3.56%),169.4,163
ADANI ENTERPRISES,165.35,2.45,(+1.50%),168.85,162.5
CITY UNION BANK,180,0.4,(+0.22%),181,175.8
NAVKAR CORPORATION,191.3,1.4,(+0.74%),192.95,188.7
JINDAL STEEL & POWER,194.55,1.95,(+1.01%),197.5,190.6
SUVEN LIFE SCIENCES,197.9,2,(+1.02%),202,195.9
DCB BANK,198.1,4.15,(+2.14%),199.8,193.95
ABAN OFFSHORE,202.75,3.85,(+1.94%),212,202
ALLCARGO LOGISTICS,210.3,1.05,(+0.50%),216.9,208
ITD CEMENTATION,214,0.25,(+0.12%),220.6,209.5
BLISS GVS PHARMA,215.4,0.5,(+0.23%),218,213.6
GUJARAT STATE PETRO,225.95,3.7,(+1.66%),228.7,221.8
IRB INFRASTRUCTURE,236.6,1.25,(+0.53%),240.45,235
GATEWAY DISTRIPARKS,241.2,2.1,(+0.88%),245,238.4
THOMAS COOK (INDIA),258.4,10.05,(+4.05%),264.2,248
APOLLO TYRES,268.55,1.45,(+0.54%),271,262.8
RALLIS INDIA,268.75,11.1,(+4.31%),289.4,257.05
CROMPTON CONS ELEC,271.8,3.05,(+1.13%),272.5,267.9
TORRENT POWER,274.5,0.85,(+0.31%),280.65,272.6
BALMER LAWRIE &,275.45,7.35,(+2.74%),283,272
SH KELKAR & CO,279,3,(+1.09%),279.6,275.7
ADVANCED ENZYME,282,0.1,(+0.04%),285,281.1
ESSEL PROPACK,290.95,1.85,(+0.64%),295.95,288
NARAYANA HRUDAYALAY,299.3,1.85,(+0.62%),301,296
WIPRO,305.35,2.1,(+0.69%),306.1,300.1
KITEX GARMENTS,306.5,2.15,(+0.71%),311.35,304
GHCL LTD.,317.6,6.95,(+2.24%),324,309.15
PRESTIGE ESTATE,321.8,21.2,(+7.05%),325.8,310.15
JB CHEM. & PHARMA,324.15,2.6,(+0.81%),329.3,322
VEDANTA,326.15,4.55,(+1.41%),328.3,320.7
INDRAPRASTHA GAS,331.45,1.05,(+0.32%),334,330
DB CORP,346.5,1.75,(+0.51%),358.45,340.55
FUTURE LIFESTYLE,350,0.85,(+0.24%),358,344
OIL INDIA,360.15,3.1,(+0.87%),363.95,358
KOLTE PATIL DEVELOP,360.45,1.65,(+0.46%),365.5,356
RAIN INDUSTRIES,363.9,2.7,(+0.75%),368.65,358.5
E.I.D. PARRY,374.95,13.75,(+3.81%),376,362
